id,id_origen,objetivo_de_la_iniciativa,breve_descripcion,tipo_de_proyecto,codigo_de_sistema,sistema_de_abastecimiento,zona,prioridad,plazo,costo,estado,principal_reto_por_superar,observacion,responsabilidad_atencion,activo,caudal_estimado_lps,volumen_estimado_m3,km_estimado
168,,Aumentar capacidad de almacenamiento del sistema San Pablo,Se requiere aumentar la capacidad de almacenamiento para el sistema. Se cuenta con terreno para el tanque La Meseta 2.,Mejora en Almacenamiento,MEA15,ME-A-15 San Pablo,,,,,,"Definir sitio, capacidad, diseño y financiamiento para aumentar regulación y reserva operativa.",ID 117; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Mediano a alto; Estado: Pendiente.,,,,5000.0,
169,,Actualizar catastro de redes y válvulas en Puriscal,"Actualización de catastro de redes y válvulas. Ramales nuevos no incorporados, válvulas no referenciadas e incertidumbre catastral.",Optimización,MEA31,ME-A-31 Puriscal,,,,,,"Levantar, depurar y mantener información confiable para la toma de decisiones.",ID 118; Zona: Zona 5; Pri.: Urgente; Plazo: Corto; Costo: Mediano; Estado: Pendiente.,,,,,
170,,Aumentar almacenamiento en Santiago-Junquillo,Aumento de almacenamiento en Santiago-Junquillo. Junquillo no da abasto; se propuso tanque de 1000 m³ en Junquillo Metálico y conducción desde Barbacoas.,Mejora en Almacenamiento,MEA31,ME-A-31 Puriscal,,,,,,"Definir sitio, capacidad, diseño y financiamiento para aumentar regulación y reserva operativa.",ID 119; Zona: Zona 5; Pri.: Urgente; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,,1000.0,
171,,Valorar nuevo tanque en San Antonio de Puriscal,Valorar nuevo tanque en San Antonio. Posibilidad de enviar agua por gravedad desde Junquillo; en verano se agrava el desabastecimiento.,Mejora en Almacenamiento,MEA31,ME-A-31 Puriscal,,,,,,"Definir sitio, capacidad, diseño y financiamiento para aumentar regulación y reserva operativa.",ID 120; Zona: Zona 5; Pri.: Urgente; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,,5000.0,
172,,Trasladar y mejorar rebombeo Junquillo–Cerbatana,Traslado/mejora del rebombeo Junquillo–Cerbatana y mejora eléctrica con ICE. Trasladar rebombeo a Junquillo Metálico; pasar de 220 a 480 V y de 8 L/s a 20 L/s.,Optimización,MEA31,ME-A-31 Puriscal,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 121; Zona: Zona 5; Pri.: Urgente; Plazo: Corto a mediano; Costo: Alto; Estado: Pendiente.,,,20.0,,
173,,Sustituir o normalizar conducciones con diámetros ineficientes en Puriscal,Sustitución/normalización de conducciones con diámetros ineficientes. Conducciones largas con reducciones de 100-75-63-38 mm generan tapones e ineficiencia.,Sustitución de tuberías,MEA31,ME-A-31 Puriscal,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 122; Zona: Zona 5; Pri.: Urgente; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,,,10.0
174,,Mejorar telemetría y automatización en Puriscal,Mejora de telemetría y automatización. Incluir más variables; hay tanques alejados con poca señal.,Optimización,MEA31,ME-A-31 Puriscal,,,,,,"Levantar, depurar y mantener información confiable para la toma de decisiones.",ID 123; Zona: Zona 5; Pri.: Importante; Plazo: Corto; Costo: Mediano; Estado: Pendiente.,,,,,
175,,Dar mantenimiento y robustecer VRP en Puriscal,Mantenimiento y robustecimiento de VRP. Si se pierde una VRP hay riesgo de rotura de tuberías.,Mantenimiento Correctivo y Preventivo,MEA31,ME-A-31 Puriscal,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 124; Zona: Zona 5; Pri.: Urgente; Plazo: Corto; Costo: Mediano; Estado: Pendiente.,,,,,
176,,Regularizar infraestructura en propiedad privada en Puriscal,"Regularización de infraestructura en propiedad privada. Limita reparaciones, accesos y mantenimiento.",Regularización jurídica de infraestructura y terrenos,MEA31,ME-A-31 Puriscal,,,,,,"Formalizar servidumbres, terrenos y accesos para operación y mantenimiento.",ID 125; Zona: Zona 5; Pri.: Urgente; Plazo: Mediano; Costo: Mediano; Estado: Pendiente.,,,,,
177,,Resolver operación de La Gloria y San Gabriel / eventual traslado a Periféricos,"Resolver operación de Gloria y San Gabriel / eventual traslado a Periféricos. Sectores muy alejados, de difícil respuesta, con maniobras manuales en época seca.",Optimización,MEA31,ME-A-31 Puriscal,,,,,,"Definir modelo de operación, responsables y capacidad de atención del sistema.",ID 126; Zona: Zona 5; Pri.: Importante; Plazo: Mediano; Costo: Bajo a mediano; Estado: Pendiente.,,,,,
178,,Atender asentamientos informales de San Antonio de Puriscal,Atención de asentamientos informales de San Antonio. Asentamiento cerca del CAIS; intento de desconexión generó conflicto.,Ordenamiento comercial,MEA31,ME-A-31 Puriscal,,,,,,"Regularizar conexiones, consumos, facturación y control físico-comercial del sector.",ID 127; Zona: Zona 5; Pri.: Urgente; Plazo: Corto; Costo: Bajo a mediano; Estado: Pendiente.,,,,,
179,,Retomar aforos de nacientes en Puriscal,Retomar aforos de nacientes. Recientemente no se han realizado aforos.,Optimización,MEA31,ME-A-31 Puriscal,,,,,,"Levantar, depurar y mantener información confiable para la toma de decisiones.",ID 128; Zona: Zona 5; Pri.: Importante; Plazo: Corto; Costo: Bajo; Estado: Pendiente.,,,,,
180,,Consolidar cartera de mediano y largo plazo para Puriscal,"Puriscal: cartera mediano y largo plazo, DLZ / SAID / BPIP. Incluye tanques, impulsiones, desarenadores, válvulas, conexiones periféricas, captación Bajo Guevara y otros componentes estructurales.",Optimización,MEA31,ME-A-31 Puriscal,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 129; Zona: Zona 5; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Alto; Estado: Pendiente.,,,,,
181,,Aumentar almacenamiento en Planta Potabilizadora Los Sitios,"Construcción de tanque de almacenamiento de aproximadamente 4.000 m³ en la Planta Potabilizadora Los Sitios, para mejorar regulación, reserva operativa y continuidad del abastecimiento.",Mejora en Almacenamiento,MEA04,ME-A-04 Los Sitios,,,,,,"Definir ubicación, capacidad final, diseño hidráulico, integración con la planta y financiamiento.",Iniciativa propuesta para valorar. Volumen preliminar aproximado: 4.000 m³.,,,,4000.0,
182,,Aumentar almacenamiento en sector Thunderbird,"Construcción de tanque de almacenamiento de aproximadamente 500 m³ en sector Thunderbird, asociado a la posibilidad de aprovechar mayor caudal de la Fuente Carazo y ordenar el abastecimiento de San Diego, Yenny, Eulalia y sectores relacionados.",Mejora en Almacenamiento,MEA01,ME-A-01 Tres Rios,,,,,,"Confirmar disponibilidad de caudal de Fuente Carazo; definir esquema hidráulico de distribución; ubicación del tanque; terrenos, servidumbres y diseño.",Iniciativa propuesta para valorar. Volumen preliminar aproximado: 500 m³.,,,,500.0,
183,,Aumentar almacenamiento en San Pablo,"Construcción de tanque de almacenamiento de aproximadamente 1.000 m³ en el sector de la Agencia de San Pablo, para mejorar regulación, reserva y continuidad operativa del sistema.",Mejora en Almacenamiento,MEA15,ME-A-15 San Pablo,,,,,,"Confirmar disponibilidad del terreno, capacidad requerida, diseño hidráulico, integración al sistema y financiamiento.",Iniciativa propuesta para valorar. Volumen preliminar aproximado: 1.000 m³.,,,,1000.0,
184,,Aumentar almacenamiento en Salitral,"Construcción de nuevo tanque de almacenamiento de aproximadamente 1.500 m³ en ubicación cercana al tanque actual, complementario a los mantenimientos previstos sobre la infraestructura existente.",Mejora en Almacenamiento,MEA05,ME-A-05 Salitral,,,,,,"Definir ubicación del nuevo tanque, disponibilidad de terreno, servidumbres, diseño, interconexión hidráulica y financiamiento.","Iniciativa propuesta para valorar. Volumen preliminar aproximado: 1.500 m³. Se plantea como infraestructura nueva, no como sustitución de los mantenimientos al tanque existente.",,,,1500.0,
185,,Incorporar almacenamiento estratégico en CNP,"Construcción de tanque de almacenamiento de aproximadamente 10.000 a 15.000 m³ para que el campo de pozos CNP tribute hacia el tanque, acompañado de una nueva estación de bombeo.",Mejora en Almacenamiento,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Definir esquema hidráulico del campo de pozos, ubicación del tanque, capacidad final, nueva estación de bombeo, requerimientos eléctricos, terrenos, servidumbres y financiamiento.",Iniciativa propuesta para valorar. Volumen preliminar aproximado: 10.000 a 15.000 m³. Requiere análisis hidráulico integral por su posible impacto entre sistemas.,,,,15000.0,
186,,Aumentar capacidad de conducción entre MATRA y Ciudad Colón,"Instalación de una tubería de conducción dedicada entre la estación de rebombeo MATRA, en Santa Ana, y los tanques de Ciudad Colón en Mora, para atender limitaciones de conducción, crecimiento de la demanda y problemas de desabastecimiento en el cantón de Mora.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Definir ruta y diseño de la conducción dedicada; gestionar permisos, servidumbres y derechos de paso; integrar hidráulicamente la conducción con la estación MATRA y los tanques de Ciudad Colón; tramitar contratación y financiamiento.",Nueva iniciativa incorporada desde PDF Impulsión MATRA-Ciudad Colón. El documento indica que Mora se abastece desde MEA16 mediante el rebombeo MATRA y que la infraestructura de conducción existente es limitada.,,,20.0,,
187,,Desarrollar estudios hidrogeológicos en sectores críticos para nuevas fuentes,"Programar y ejecutar estudios hidrogeológicos en sectores críticos del Acueducto Metropolitano, con el fin de identificar sitios potenciales para perforación de pozos y respaldar decisiones de incorporación de caudal en sistemas deficitarios.",Aumento de Recurso Hídrico,Varios sistemas GAM,Acueducto Metropolitano,,,,,,"Priorizar sitios, coordinar con Gestión Ambiental, definir estrategia de perforación exploratoria/productiva y articular adquisición de terrenos.",Agregado desde Informe de necesidades UEN OS-2026. El informe identifica como acción prioritaria el desarrollo acelerado de estudios hidrogeológicos en sectores críticos.,,,,,
188,,Gestionar bienes inmuebles estratégicos para futuras captaciones y pozos,"Identificación, adquisición y regularización de propiedades, servidumbres y derechos de paso requeridos para captaciones, pozos, estaciones de bombeo, conducciones e infraestructura estratégica asociada a nuevas fuentes.",Regularización jurídica de infraestructura y terrenos,Varios sistemas GAM,Acueducto Metropolitano,,,,,,"Coordinar con Bienes Inmuebles, SAID y áreas técnicas para asegurar terrenos y servidumbres antes de formular o ejecutar proyectos.",Agregado desde Informe de necesidades UEN OS-2026. Se señala debilidad GAM en adquisición de terrenos y servidumbres para nuevos pozos y captaciones.,,,,,
189,,Construir lagunas de retención en La Finca de AyA,"Desarrollo de pequeñas lagunas de retención para apoyar la operación de fuentes vulnerables a contaminación química o biológica, reduciendo riesgos sobre la continuidad y la calidad del abastecimiento.",Optimización,Por definir,La Finca de AyA / sistemas asociados,,,,,,"Definir alcance hidráulico, ubicación, operación, criterios de calidad del agua, permisos y articulación con el sistema de potabilización o captación asociado.",Agregado desde Informe de necesidades UEN OS-2026. El documento menciona la propuesta de pequeñas lagunas en La Finca de AyA para fuentes vulnerables.,,,,,
190,,Desarrollar diagnósticos técnicos integrales de plantas potabilizadoras prioritarias,"Contratación o ejecución de diagnósticos técnicos integrales para valorar condición estructural, electromecánica, hidráulica, operativa, SCADA y necesidades de rehabilitación en plantas potabilizadoras críticas.",Mejora en procesos de potabilización,Varios sistemas GAM,"Plantas San Juan de Dios, Los Cuadros, San Jerónimo, Alajuelita y Orosí",,,,,,"Definir términos de referencia especializados, priorizar plantas, coordinar con SAID/Periféricos y estructurar financiamiento y cartera de rehabilitación.",Agregado desde Informe de necesidades UEN OS-2026. Se identifican plantas prioritarias y la necesidad de diagnósticos técnicos integrales.,,,,,
191,,Fortalecer procesos de preinversión y formulación BPIP de iniciativas GAM,"Fortalecimiento de procesos institucionales para formulación de perfiles, estudios de factibilidad, estudios de preinversión, actualización de BPIP suspendidos y activación de centros gestores para iniciativas PRAGAM y proyectos GAM.",Optimización,Varios sistemas GAM,Acueducto Metropolitano,,,,,,"Conformar capacidad técnica o apoyo institucional para tramitar de forma ágil estudios, perfiles, BPIP, cronogramas y programación financiera.",Agregado desde Informe de necesidades UEN OS-2026. El documento identifica como ruta crítica la preinversión y formulación de BPIP.,,,,,
192,,Desarrollar plan de contingencia metropolitano por atrasos de PAAM y proyectos de pozos,"Consolidación de un plan de contingencia para infraestructura crítica y vulnerabilidad operativa del Acueducto Metropolitano, considerando posibles atrasos en PAAM y en proyectos de incorporación de pozos.",Optimización,Varios sistemas GAM,Acueducto Metropolitano,,,,,,"Definir escenarios de riesgo, acciones de mitigación, prioridades operativas, responsables, cronogramas y coordinación entre áreas técnicas.",Agregado desde Informe de necesidades UEN OS-2026. El informe recomienda desarrollar un plan de contingencia metropolitano ante atrasos con PAAM.,,,,,
193,,Implementar monitoreo continuo y automatización de infraestructura crítica GAM,"Incorporación de monitoreo en línea, integración SCADA, medición continua de caudales, control de presiones, monitoreo de fuentes superficiales, mínimos nocturnos, automatización de plantas y estaciones, gestión de datos históricos y alertas tempranas.",Optimización,Varios sistemas GAM,Acueducto Metropolitano,,,,,,"Coordinar con RANC, SCADA, Gestión Ambiental y Centro de Control para ampliar puntos de monitoreo, instalar equipos y establecer metodología permanente.","Agregado desde Informe de necesidades UEN OS-2026. Se identifica la automatización, monitoreo y gestión inteligente como eje transversal.",,,,,
194,,Implementar infraestructura de respaldo operativo en sistemas críticos,"Incorporación de plantas eléctricas, sistemas redundantes y respaldo operativo para reducir vulnerabilidad ante fallas eléctricas, eventos climáticos o interrupciones en infraestructura crítica.",Optimización,Varios sistemas GAM,Acueducto Metropolitano,,,,,,"Definir sitios críticos, dimensionar equipos de respaldo, coordinar electrificación, operación y mantenimiento preventivo.",Agregado desde Informe de necesidades UEN OS-2026. El documento menciona infraestructura de respaldo mediante plantas eléctricas y sistemas redundantes.,,,,,
195,,Fortalecer equipamiento técnico y tecnológico para modernización operativa,"Adquisición y mantenimiento de equipos para detección de fugas, medición de caudales y presiones, telemetría, automatización, SCADA, instrumentación de monitoreo continuo, plantas eléctricas, equipos topográficos, herramientas especializadas y plataformas de gestión de datos.",Optimización,Varios sistemas GAM,Acueducto Metropolitano,,,,,,"Priorizar equipos, definir contratos de adquisición/mantenimiento, asignar responsables y asegurar capacidad de operación y uso de datos.",Agregado desde Informe de necesidades UEN OS-2026. El informe recomienda fortalecer el equipamiento técnico y tecnológico para la modernización operativa.,,,,,
196,,Integrar Calle Hornos al sistema de ASADA El Rosario de Naranjo,"Valoración e integración de Calle Hornos al sistema de ASADA El Rosario, Naranjo de Alajuela, de acuerdo con la iniciativa registrada en la matriz de priorización.",Relación con ASADAS y terceros,ASADA,ASADA El Rosario Naranjo de Alajuela,,,,,,"Definir alcance técnico, legal y operativo de la integración; validar capacidad de la ASADA, población beneficiada y responsabilidades institucionales.",Agregado desde Priorización iniciativas Acued-SG-GSGAM-2025-00449. Código iniciativa SD-GAM-A-01; no se encontró duplicado en el listado base.,,,,,
197,,Fortalecer procesos administrativos y contratación para infraestructura crítica GAM,"Fortalecimiento de adquisiciones, administración contractual, elaboración de carteles, seguimiento presupuestario y programación financiera para reducir tiempos de ejecución y agilizar infraestructura crítica.",Optimización,Varios sistemas GAM,Acueducto Metropolitano,,,,,,"Definir responsables, estandarizar términos de referencia, mejorar programación financiera y seguimiento contractual.",Agregado desde Informe de necesidades UEN OS-2026. El informe identifica esta necesidad para agilizar la implementación de infraestructura crítica.,,,,,
